tile_num,GeoTIFF,geometry,S2 Tile Name
3606,boreal_agb_202302061675665695_3606.tif,"POLYGON ((132.83306543800006 58.26803141400006, 133.81970390800006 57.65559668100008, 132.65599898200003 57.14402478800008, 131.6636784760001 57.747863324000036, 132.83306543800006 58.26803141400006))",52VFK
3513,boreal_agb_202302061675667991_3513.tif,"POLYGON ((133.02207241600001 59.39048945500008, 134.0379355670001 58.77717439600008, 132.83306543800006 58.26803141400006, 131.81093749900003 58.87238978800008, 133.02207241600001 59.39048945500008))",52VFL
3422,boreal_agb_202302061675666225_3422.tif,"POLYGON ((131.9683226100001 59.995629172000065, 133.02207241600001 59.39048945500008, 131.81093749900003 58.87238978800008, 130.75186986800009 59.468318338000074, 131.9683226100001 59.995629172000065))",52VFL
3330,boreal_agb_202302061675666174_3330.tif,"POLYGON ((130.8750750150001 60.59221438600008, 131.9683226100001 59.995629172000065, 130.75186986800009 59.468318338000074, 129.65437916300004 60.055437522000034, 130.8750750150001 60.59221438600008))",52VFL
3421,boreal_agb_202302061675672112_3421.tif,"POLYGON ((130.75186986800009 59.468318338000074, 131.81093749900003 58.87238978800008, 130.63673671200002 58.34339109700005, 129.57383559000004 58.93025466600005, 130.75186986800009 59.468318338000074))",52VFL
3512,boreal_agb_202302061675670884_3512.tif,"POLYGON ((131.81093749900003 58.87238978800008, 132.83306543800006 58.26803141400006, 131.6636784760001 57.747863324000036, 130.63673671200002 58.34339109700005, 131.81093749900003 58.87238978800008))",52VFL
3423,boreal_agb_202302061675673664_3423.tif,"POLYGON ((133.22426656000005 60.51171811000006, 134.27108655900008 59.89723339900007, 133.02207241600001 59.39048945500008, 131.9683226100001 59.995629172000065, 133.22426656000005 60.51171811000006))",52VFM
3331,boreal_agb_202302061675669761_3331.tif,"POLYGON ((132.13691354000002 61.11792578900008, 133.22426656000005 60.51171811000006, 131.9683226100001 59.995629172000065, 130.8750750150001 60.59221438600008, 132.13691354000002 61.11792578900008))",52VFM
3422,boreal_agb_202302061675666225_3422.tif,"POLYGON ((131.9683226100001 59.995629172000065, 133.02207241600001 59.39048945500008, 131.81093749900003 58.87238978800008, 130.75186986800009 59.468318338000074, 131.9683226100001 59.995629172000065))",52VFM
3330,boreal_agb_202302061675666174_3330.tif,"POLYGON ((130.8750750150001 60.59221438600008, 131.9683226100001 59.995629172000065, 130.75186986800009 59.468318338000074, 129.65437916300004 60.055437522000034, 130.8750750150001 60.59221438600008))",52VFM
3421,boreal_agb_202302061675672112_3421.tif,"POLYGON ((130.75186986800009 59.468318338000074, 131.81093749900003 58.87238978800008, 130.63673671200002 58.34339109700005, 129.57383559000004 58.93025466600005, 130.75186986800009 59.468318338000074))",52VFM
3423,boreal_agb_202302061675673664_3423.tif,"POLYGON ((133.22426656000005 60.51171811000006, 134.27108655900008 59.89723339900007, 133.02207241600001 59.39048945500008, 131.9683226100001 59.995629172000065, 133.22426656000005 60.51171811000006))",52VFN
3331,boreal_agb_202302061675669761_3331.tif,"POLYGON ((132.13691354000002 61.11792578900008, 133.22426656000005 60.51171811000006, 131.9683226100001 59.995629172000065, 130.8750750150001 60.59221438600008, 132.13691354000002 61.11792578900008))",52VFN
3330,boreal_agb_202302061675666174_3330.tif,"POLYGON ((130.8750750150001 60.59221438600008, 131.9683226100001 59.995629172000065, 130.75186986800009 59.468318338000074, 129.65437916300004 60.055437522000034, 130.8750750150001 60.59221438600008))",52VFN
